,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Total_Spent_Per_District,Percent_Spent,STATEFP20
162,FL,1,Phil Ehr,D,False,0,34.0,2025099.0,1900451.0,6390303.0,29.739607026458682,12
163,FL,1,Bert Oram,I,False,0,1.4,8108.0,7070.0,6390303.0,0.11063638140476281,12
164,FL,2,Neal Dunn,R,True,1,98.0,653488.0,637580.0,637580.0,100.0,12
165,FL,3,Kat Cammack,R,False,1,57.1,1122188.0,1090334.0,1309442.0,83.26707101192721,12
166,FL,3,Adam Christensen,D,False,0,42.9,216021.0,219108.0,1309442.0,16.732928988072782,12
167,FL,4,John Rutherford,R,True,1,61.1,1024912.0,1283701.0,2296858.0,55.889436787123984,12
168,FL,4,Donna Deegan,D,False,0,38.9,1013157.0,1013157.0,2296858.0,44.11056321287602,12
169,FL,5,Al Lawson,D,True,1,65.1,848498.0,695779.0,842688.0,82.566620148857,12
170,FL,5,Gary Adler,R,False,0,34.9,146909.0,146909.0,842688.0,17.43337985114301,12
171,FL,6,Michael Waltz,R,True,1,60.6,2549667.0,1716768.0,1739019.0,98.72048551510937,12
172,FL,6,Clint Curtis,D,False,0,39.4,24310.0,22251.0,1739019.0,1.2795144848906193,12
173,FL,7,Stephanie Murphy,D,True,1,55.3,3124692.0,1798549.0,2829865.0,63.55600002120243,12
174,FL,7,Leo Valentin,R,False,0,43.2,1045426.0,1031316.0,2829865.0,36.44399997879758,12
175,FL,7,Bill Garlington,I,False,0,1.4,11000.0,0.0,2829865.0,0.0,12
176,FL,8,Bill Posey,R,True,1,61.4,985268.0,1121834.0,1260624.0,88.99037302161469,12
177,FL,8,James Kennedy,D,False,0,38.6,138568.0,138790.0,1260624.0,11.009626978385308,12
178,FL,9,Darren Soto,D,True,1,56.0,1111750.0,945868.0,1346956.0,70.22263533478451,12
179,FL,9,William Olson,R,False,0,44.0,404406.0,401088.0,1346956.0,29.777364665215494,12
180,FL,10,Val Demings,D,True,1,63.6,1876047.0,1191020.0,1523872.0,78.15748304319523,12
181,FL,10,Vennia Francois,R,False,0,36.4,335480.0,332852.0,1523872.0,21.842516956804772,12
182,FL,11,Daniel Webster,R,True,1,66.7,691261.0,586965.0,649345.0,90.39339642254888,12
183,FL,11,Dana Cottrell,D,False,0,33.3,62658.0,62380.0,649345.0,9.606603577451125,12
184,FL,12,Gus Bilirakis,R,True,1,62.9,1604137.0,1548634.0,1582178.0,97.87988456418937,12
185,FL,12,Kim Walker,D,False,0,37.1,42802.0,33544.0,1582178.0,2.1201154358106358,12
186,FL,13,Charlie Crist,D,True,1,53.0,2720646.0,3980695.0,7242931.0,54.95972555861709,12
187,FL,13,Anna Paulina Luna,R,False,0,47.0,3302944.0,3262236.0,7242931.0,45.04027444138291,12
188,FL,14,Kathy Castor,D,True,1,60.3,884651.0,1201653.0,1442840.0,83.28387069945386,12
